,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,33xMbeHzmWd6Od0BmLZEUs,2K,Nosaj Thing,https://open.spotify.com/track/33xMbeHzmWd6Od0BmLZEUs,0.31,0.445,7,-13.355,0.0863,0.094,0.0678,0.113,0.122,95.36
1,3UnyplmZaq547hwsfOR5yy,4 Billion Souls,The Doors,https://open.spotify.com/track/3UnyplmZaq547hwsfOR5yy,0.419,0.565,5,-11.565,0.0347,0.137,0.337,0.128,0.648,151.277
2,1w8QCSDH4QobcQeT4uMKLm,4 Minute Warning,Radiohead,https://open.spotify.com/track/1w8QCSDH4QobcQeT4uMKLm,0.354,0.302,9,-13.078,0.0326,0.59,0.0709,0.111,0.223,123.753
3,7J9mBHG4J2eIfDAv5BehKA,7 Element,Vitas,https://open.spotify.com/track/7J9mBHG4J2eIfDAv5BehKA,0.727,0.785,5,-6.707,0.0603,0.325,0.126,0.31,0.96,129.649
4,1VZedwJj1gyi88WFRhfThb,#9 Dream,R.E.M.,https://open.spotify.com/track/1VZedwJj1gyi88WFRhfThb,0.571,0.724,0,-5.967,0.026,0.0231,0.00311,0.0919,0.385,116.755
5,3DSmOF7ETJHAQEqqgoSJao,#9 Dream,a-ha,https://open.spotify.com/track/3DSmOF7ETJHAQEqqgoSJao,0.579,0.777,4,-7.505,0.0304,0.0177,0.000248,0.422,0.481,109.994
6,5HPnumlogzZtpLEaORZjz1,10 Lovers,The Black Keys,https://open.spotify.com/track/5HPnumlogzZtpLEaORZjz1,0.606,0.638,3,-6.994,0.0339,0.0434,0.000247,0.0887,0.817,97.992
7,6i99ThziImjuFABb8rUQvy,11th Dimension,Julian Casablancas,https://open.spotify.com/track/6i99ThziImjuFABb8rUQvy,0.574,0.925,6,-2.766,0.0463,0.00164,0.0243,0.115,0.369,125.501
8,0nkLI0pdyTRpq7BsTFBufZ,12:51,The Strokes,https://open.spotify.com/track/0nkLI0pdyTRpq7BsTFBufZ,0.452,0.889,4,-3.838,0.0379,0.312,0.8,0.558,0.591,145.056
9,6Yu1OL8I0D4vjOzYdsXYGK,12:51,The Strokes,https://open.spotify.com/track/6Yu1OL8I0D4vjOzYdsXYGK,0.451,0.889,4,-3.838,0.0379,0.312,0.8,0.558,0.592,145.056
10,2HvTGx5fzFGpHSyRNvXd9T,12 Bar Original - Anthology 2 Version,The Beatles,https://open.spotify.com/track/2HvTGx5fzFGpHSyRNvXd9T,0.6,0.535,9,-8.178,0.0298,0.00154,0.102,0.123,0.566,122.678
11,2XS4lIQ1bl9KSNsYtkqK46,15 Minutes,The Strokes,https://open.spotify.com/track/2XS4lIQ1bl9KSNsYtkqK46,0.337,0.885,2,-3.566,0.0419,0.004,0.0378,0.141,0.389,83.001
12,6dsq7Nt5mIFzvm5kIYNORy,15 Step,Radiohead,https://open.spotify.com/track/6dsq7Nt5mIFzvm5kIYNORy,0.6,0.853,1,-7.584,0.0423,0.0489,0.346,0.0934,0.847,94.457
13,1wKGGfnznnXIvupuEZt9mM,17,Perfume Genius,https://open.spotify.com/track/1wKGGfnznnXIvupuEZt9mM,0.396,0.141,6,-16.115,0.0294,0.919,0.434,0.339,0.0443,68.03
14,7Jjqx75QRHaYsxF5WnHovC,21 Gun Salute,Half Moon Run,https://open.spotify.com/track/7Jjqx75QRHaYsxF5WnHovC,0.594,0.61,11,-10.57,0.0388,0.829,0.208,0.077,0.289,129.963
15,7BIPYQPHbPVDE9UsA0eT72,22h22,Ariane Moffatt,https://open.spotify.com/track/7BIPYQPHbPVDE9UsA0eT72,0.35,0.0959,10,-17.471,0.0439,0.964,0.0024,0.106,0.108,143.861
16,4KEw5m7CZXVbpWbHVK4OrV,28 Jours,Karkwa,https://open.spotify.com/track/4KEw5m7CZXVbpWbHVK4OrV,0.15,0.237,3,-10.799,0.0323,0.778,0.0977,0.0897,0.0733,67.276
17,2YTRLoG5jdzCp4yg3B6OnH,39,Vinnie Who,https://open.spotify.com/track/2YTRLoG5jdzCp4yg3B6OnH,0.733,0.719,5,-8.776,0.0462,0.0609,0.108,0.0807,0.327,114.959
18,5MPryR3oJGmWnSYM7X2GGE,50/50,The Strokes,https://open.spotify.com/track/5MPryR3oJGmWnSYM7X2GGE,0.491,0.93,11,-6.412,0.0347,4.23e-05,0.612,0.219,0.623,99.924
19,4ymUtICOpIlyvFf3URM7XZ,50 Shades of Beige,Radio Radio,https://open.spotify.com/track/4ymUtICOpIlyvFf3URM7XZ,0.703,0.7,2,-6.152,0.135,0.049,0.0,0.365,0.512,119.966
20,2lffRiAET2Xt6BNb4EmkS2,80's Comedown Machine,The Strokes,https://open.spotify.com/track/2lffRiAET2Xt6BNb4EmkS2,0.488,0.503,0,-8.89,0.0326,0.00583,0.809,0.101,0.38,144.035
21,3oQ52Mqz2ih8KjligVoQrG,96.7 The Pipe,Mac DeMarco,https://open.spotify.com/track/3oQ52Mqz2ih8KjligVoQrG,0.583,0.917,6,-8.96,0.567,0.493,0.0608,0.296,0.44,171.157
22,5h8G81Ls00kyf1UEen0gBB,106.2 Breeze FM,Mac DeMarco,https://open.spotify.com/track/5h8G81Ls00kyf1UEen0gBB,0.487,0.753,6,-10.533,0.306,0.665,0.00144,0.231,0.847,112.907
23,6Tq4LginUMBOgZrUs8M40h,143 (Kelly's song) 2011,Jake Shimabukuro,https://open.spotify.com/track/6Tq4LginUMBOgZrUs8M40h,0.37,0.361,9,-12.271,0.0321,0.81,0.87,0.113,0.479,66.409
24,7ynvnjTj1XI8ByUq3F8MUw,400 Lux,Lorde,https://open.spotify.com/track/7ynvnjTj1XI8ByUq3F8MUw,0.512,0.474,2,-8.36,0.0371,0.0787,0.00345,0.134,0.194,183.991
25,4wHh4AljzbSGMJvynLgK1q,1517,The Whitest Boy Alive,https://open.spotify.com/track/4wHh4AljzbSGMJvynLgK1q,0.784,0.539,11,-7.676,0.0406,0.317,0.377,0.0989,0.962,122.53
26,2UFEbNhbk9GsxCigXPq3XI,1990 - Danse Mix,Jean Leloup,https://open.spotify.com/track/2UFEbNhbk9GsxCigXPq3XI,0.599,0.939,2,-5.714,0.0746,0.000555,0.0,0.0947,0.648,121.853
27,7IcXkPWjwqUCCkI2mUf02h,2024,Cage The Elephant,https://open.spotify.com/track/7IcXkPWjwqUCCkI2mUf02h,0.243,0.984,10,-3.384,0.323,2.32e-05,0.00938,0.131,0.239,180.979
28,1595LW73XBxkRk2ciQOHfr,A-Punk,Vampire Weekend,https://open.spotify.com/track/1595LW73XBxkRk2ciQOHfr,0.548,0.816,2,-4.478,0.0499,0.0104,0.0543,0.152,0.857,174.993
29,2vEkF5UazjaBL6CpG2BZgq,The Abduction,John Williams,https://open.spotify.com/track/2vEkF5UazjaBL6CpG2BZgq,0.159,0.23,2,-15.441,0.033,0.672,0.848,0.0951,0.0632,84.933
30,6GWS0Nb3ybf3tQXZ0FlfZf,Aberdeen,Cage The Elephant,https://open.spotify.com/track/6GWS0Nb3ybf3tQXZ0FlfZf,0.154,0.972,7,-3.626,0.111,0.000913,0.247,0.368,0.213,205.467
31,5FcjGGKpQx6dvuGcbAcFtC,Above You,The Whitest Boy Alive,https://open.spotify.com/track/5FcjGGKpQx6dvuGcbAcFtC,0.725,0.774,4,-6.402,0.174,0.135,0.126,0.0844,0.72,78.976
32,4YpfqCRwb3ttShlTNaB2jU,Abraham,Sufjan Stevens,https://open.spotify.com/track/4YpfqCRwb3ttShlTNaB2jU,0.365,0.0299,6,-20.546,0.0709,0.946,0.49,0.111,0.255,80.762
33,00fyPXxe2SCBHnFwEO9Eh1,Across The Universe - Take 2 / Anthology 2 Version,The Beatles,https://open.spotify.com/track/00fyPXxe2SCBHnFwEO9Eh1,0.488,0.341,2,-11.907,0.0256,0.681,0.0,0.0844,0.463,79.377
34,691jw4auDZjaTOwUJmtoSy,Across The Universe - World Wildlife Fund Version / Remastered 2009,The Beatles,https://open.spotify.com/track/691jw4auDZjaTOwUJmtoSy,0.461,0.575,10,-10.709,0.0538,0.517,0.0,0.138,0.549,82.634
35,4dkoqJrP0L8FXftrMZongF,Across The Universe - Remastered 2009,The Beatles,https://open.spotify.com/track/4dkoqJrP0L8FXftrMZongF,0.257,0.412,1,-11.788,0.0287,0.361,8.68e-05,0.0702,0.858,152.126
36,2Yh0H2OXI2UItG9GGfQzlK,Across The Universe - Remastered 2009,The Beatles,https://open.spotify.com/track/2Yh0H2OXI2UItG9GGfQzlK,0.252,0.395,1,-12.323,0.0283,0.405,0.000119,0.0635,0.84,154.06
