,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5EkkdLlRAuzjjA8oT6FN7b,Clouds,O3ohn,https://open.spotify.com/track/5EkkdLlRAuzjjA8oT6FN7b,0.572,0.561,7,-7.414,0.0276,0.653,0.0448,0.0926,0.548,165.766
1,2xWaMntwciToo1CbOxWmbX,light,wave to earth,https://open.spotify.com/track/2xWaMntwciToo1CbOxWmbX,0.419,0.621,11,-6.901,0.0305,0.252,0.0367,0.125,0.727,79.692
2,1UGChD0glZlsdVBbfWbjUH,긴 꿈 A Long Dream,SE SO NEON,https://open.spotify.com/track/1UGChD0glZlsdVBbfWbjUH,0.644,0.608,9,-4.498,0.038,0.19,4.22e-05,0.0714,0.651,128.012
3,197OXtsiu7HujhhXYvJjEt,Go Back 집에,SE SO NEON,https://open.spotify.com/track/197OXtsiu7HujhhXYvJjEt,0.575,0.819,1,-3.451,0.0502,0.0429,0.00218,0.346,0.642,80.958
4,320twJYO0LC64eWCuCC5vj,NAN CHUN 난춘,SE SO NEON,https://open.spotify.com/track/320twJYO0LC64eWCuCC5vj,0.49,0.534,1,-3.43,0.0302,0.0455,1.89e-05,0.433,0.439,141.173
5,7e6vdQ1sF68a9FOW1ekhzt,Dreamcatcher 드림캐처,We Are The Night,https://open.spotify.com/track/7e6vdQ1sF68a9FOW1ekhzt,0.598,0.817,5,-4.677,0.034,0.0871,0.0228,0.216,0.279,105.077
6,1rWTYGiIPe5uFMULNEj1f2,"Hi Bye, Goodnight",DANIEL,https://open.spotify.com/track/1rWTYGiIPe5uFMULNEj1f2,0.353,0.536,10,-8.298,0.0367,0.875,0.309,0.119,0.328,98.007
7,5VMcW8AnDsVbWLHDkwdg3j,Lily of The Valley,DANIEL,https://open.spotify.com/track/5VMcW8AnDsVbWLHDkwdg3j,0.567,0.391,1,-9.106,0.0268,0.74,0.277,0.0645,0.269,123.909
8,57rt6Jj7woE21ae3Ml2vw8,She,JANNABI,https://open.spotify.com/track/57rt6Jj7woE21ae3Ml2vw8,0.427,0.38,9,-8.331,0.0255,0.913,0.0148,0.215,0.169,79.941
9,6lEvp0pS6rqCpdsbvOaRaC,mirror,JANNABI,https://open.spotify.com/track/6lEvp0pS6rqCpdsbvOaRaC,0.602,0.484,3,-10.851,0.026,0.726,0.0165,0.0751,0.478,110.015
10,4JmRth9mDEINhUNIpDYLQi,Summer,JANNABI,https://open.spotify.com/track/4JmRth9mDEINhUNIpDYLQi,0.495,0.624,5,-4.03,0.0265,0.438,0.000424,0.292,0.327,79.0
11,4SPZfnF7tn4Sfcv3iTjKCu,나는 볼 수 없던 이야기,JANNABI,https://open.spotify.com/track/4SPZfnF7tn4Sfcv3iTjKCu,0.432,0.382,5,-8.192,0.0293,0.895,5.64e-05,0.13,0.114,78.255
12,5mrIZ0lvgFr5wnrYbzV0C1,TOGETHER!,JANNABI,https://open.spotify.com/track/5mrIZ0lvgFr5wnrYbzV0C1,0.717,0.517,9,-7.081,0.0377,0.494,0.0,0.13,0.719,126.067
13,3glUhrBDHoDK35nQAawNBK,about a boy,JANNABI,https://open.spotify.com/track/3glUhrBDHoDK35nQAawNBK,0.668,0.603,0,-6.185,0.0333,0.679,0.000128,0.211,0.609,122.041
14,0NfiN84B533YRgbGko6RQy,DOLMARO,JANNABI,https://open.spotify.com/track/0NfiN84B533YRgbGko6RQy,0.257,0.493,9,-8.094,0.0341,0.636,0.000503,0.454,0.236,197.798
15,6INYE0DoIzVvnEUu7Pw4Bw,geum ui hwan hyang,JANNABI,https://open.spotify.com/track/6INYE0DoIzVvnEUu7Pw4Bw,0.512,0.441,5,-10.823,0.0344,0.885,0.000353,0.447,0.643,175.863
16,0EtiFHvYwpcaxYC5Y0EHTm,bad dreams,JANNABI,https://open.spotify.com/track/0EtiFHvYwpcaxYC5Y0EHTm,0.419,0.742,10,-7.2,0.0292,0.241,0.0171,0.0973,0.345,175.95
17,2d87kHwM5YByBhsU8qCDWg,land of night,JANNABI,https://open.spotify.com/track/2d87kHwM5YByBhsU8qCDWg,0.347,0.482,4,-8.947,0.0306,0.842,0.0484,0.211,0.109,147.9
18,1deQhoZakgMT5fw0t9zliD,"dreams, books, power and walls",JANNABI,https://open.spotify.com/track/1deQhoZakgMT5fw0t9zliD,0.514,0.329,6,-9.147,0.0348,0.818,0.000546,0.118,0.36,75.973
19,2oTDvoEuxCj33rFL9u5Xum,joyful joyful,JANNABI,https://open.spotify.com/track/2oTDvoEuxCj33rFL9u5Xum,0.589,0.509,4,-7.915,0.0284,0.699,0.000582,0.245,0.429,125.996
20,5CievkVz0QepORWuOsFHiu,Surprise!,JANNABI,https://open.spotify.com/track/5CievkVz0QepORWuOsFHiu,0.447,0.776,2,-3.415,0.0344,0.229,0.00026,0.225,0.491,163.94
21,45DQky9bZx5AFq5kgMYAZo,Wish,JANNABI,https://open.spotify.com/track/45DQky9bZx5AFq5kgMYAZo,0.637,0.576,2,-6.259,0.0305,0.538,0.00114,0.12,0.345,131.978
22,05Udoqtxi9KgqSMnV5OPpQ,HONG KONG,JANNABI,https://open.spotify.com/track/05Udoqtxi9KgqSMnV5OPpQ,0.636,0.71,5,-3.995,0.0304,0.379,1.36e-06,0.255,0.663,145.881
23,2kuxMt9uBIJ63li6NQWhlU,Tell me,JANNABI,https://open.spotify.com/track/2kuxMt9uBIJ63li6NQWhlU,0.645,0.888,6,-2.666,0.0307,0.179,2.74e-06,0.103,0.852,107.988
24,5n2VlYCe6kW5Vv2Vg7aN8C,Step,JANNABI,https://open.spotify.com/track/5n2VlYCe6kW5Vv2Vg7aN8C,0.731,0.404,5,-8.778,0.032,0.78,2.03e-05,0.11,0.644,129.823
25,49bu8WZAthRnScNwkT9tIC,Sweet memories,JANNABI,https://open.spotify.com/track/49bu8WZAthRnScNwkT9tIC,0.647,0.362,6,-9.948,0.0476,0.852,0.000269,0.0675,0.515,139.934
26,43ap1ds3F1o8Fmz6b29NoG,ride,wave to earth,https://open.spotify.com/track/43ap1ds3F1o8Fmz6b29NoG,0.496,0.46,2,-6.891,0.0265,0.0873,0.00163,0.168,0.289,77.989
27,1HjV7Um4zEioOdJUr2lkDV,wave,wave to earth,https://open.spotify.com/track/1HjV7Um4zEioOdJUr2lkDV,0.27,0.508,5,-8.138,0.0272,0.736,0.196,0.139,0.266,102.21
