,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,5odlY52u43F5BjByhxg7wg,golden hour,JVKE,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg,0.515,0.593,4,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467
1,1ypW5tLaTMBIGNCg6Binqx,wonder,macico,https://open.spotify.com/track/1ypW5tLaTMBIGNCg6Binqx,0.784,0.695,11,-6.297,0.0396,0.0547,0.000273,0.465,0.521,117.98
2,7vRodvsF37NGUYRSVMIRXj,Anywhere But Home,SEULGI,https://open.spotify.com/track/7vRodvsF37NGUYRSVMIRXj,0.698,0.798,11,-2.583,0.0825,0.345,1.47e-06,0.377,0.528,117.051
3,6bJ1SmYfBYk31gxcROPBJY,Do I Do,OVAN,https://open.spotify.com/track/6bJ1SmYfBYk31gxcROPBJY,0.593,0.452,3,-5.938,0.032,0.788,0.0,0.147,0.548,163.899
4,4USPcfRRyFYE9MvK5cySv2,golden hour - Instrumental,Instrumental Covers Tazzy,https://open.spotify.com/track/4USPcfRRyFYE9MvK5cySv2,0.426,0.374,6,-13.406,0.0391,0.838,0.774,0.194,0.0589,188.915
5,3DVAu0Uwb9rVF0dJd94nhf,eye,macico,https://open.spotify.com/track/3DVAu0Uwb9rVF0dJd94nhf,0.688,0.891,0,-5.798,0.0371,0.000919,0.00122,0.0719,0.679,124.965
6,2BdGXQ4MjeYCZ9JNte85Q4,POSE,LOONA,https://open.spotify.com/track/2BdGXQ4MjeYCZ9JNte85Q4,0.823,0.72,2,-4.144,0.0536,0.0326,0.000172,0.34,0.195,120.007
7,0AjcdGri5vhJsmZnduCEqd,October Passed Me By,girl in red,https://open.spotify.com/track/0AjcdGri5vhJsmZnduCEqd,0.445,0.367,0,-13.086,0.0452,0.761,0.075,0.0987,0.202,155.675
8,5jYIpA2XK751YaZalx7yJV,Love Actually,Night Tempo,https://open.spotify.com/track/5jYIpA2XK751YaZalx7yJV,0.723,0.842,2,-2.763,0.045,0.0662,2.53e-05,0.0756,0.699,124.015
9,2gpwaAJnSDTevgZa4uyM0H,POPPY,STAYC,https://open.spotify.com/track/2gpwaAJnSDTevgZa4uyM0H,0.819,0.709,4,-5.351,0.0382,0.314,0.0,0.13,0.638,126.001
10,4xF4ZBGPZKxECeDFrqSAG4,snowfall,Øneheart,https://open.spotify.com/track/4xF4ZBGPZKxECeDFrqSAG4,0.466,0.0918,10,-26.813,0.0269,0.929,0.803,0.439,0.0841,95.014
11,0d9rpYLUWuwVT9zwErB1d3,To us (feat. wave to earth & WAVY),APRO,https://open.spotify.com/track/0d9rpYLUWuwVT9zwErB1d3,0.462,0.577,0,-5.426,0.0302,0.0521,0.0509,0.334,0.408,160.059
12,0RDqNCRBGrSegk16Avfzuq,Talk that Talk,TWICE,https://open.spotify.com/track/0RDqNCRBGrSegk16Avfzuq,0.772,0.907,3,-2.438,0.124,0.136,0.0,0.334,0.783,119.973
13,5oZFLaVodMeAXeQSgkjvrI,촉촉 (feat. 전지한),PPCX,https://open.spotify.com/track/5oZFLaVodMeAXeQSgkjvrI,0.736,0.391,0,-10.399,0.0288,0.849,0.00973,0.109,0.172,92.033
14,7a2h0tszWDc9TI5NeZYwtH,bonfire,wave to earth,https://open.spotify.com/track/7a2h0tszWDc9TI5NeZYwtH,0.239,0.348,4,-9.309,0.0278,0.58,6.81e-05,0.486,0.137,100.236
15,1PSDpiTgnkxHc7GhKrHCaA,PADO,BIBI,https://open.spotify.com/track/1PSDpiTgnkxHc7GhKrHCaA,0.69,0.784,5,-5.235,0.0324,0.0443,0.0,0.152,0.642,120.101
16,46vrZhwggdZuuZGwIQ80O3,Buzzed,¿Téo?,https://open.spotify.com/track/46vrZhwggdZuuZGwIQ80O3,0.599,0.484,8,-11.866,0.06,0.652,0.0104,0.0962,0.371,152.001
17,4fsQ0K37TOXa3hEQfjEic1,ANTIFRAGILE,LE SSERAFIM,https://open.spotify.com/track/4fsQ0K37TOXa3hEQfjEic1,0.882,0.797,10,-3.299,0.0819,0.0821,0.0,0.113,0.824,105.025
18,7cHXwaBnIBFUPuP376z07E,Flip That,LOONA,https://open.spotify.com/track/7cHXwaBnIBFUPuP376z07E,0.803,0.831,11,-3.649,0.0569,0.072,0.0,0.328,0.736,112.045
19,2BwKWZv3H5vdJKSbUhsHjK,c'est tout moi,aupinard,https://open.spotify.com/track/2BwKWZv3H5vdJKSbUhsHjK,0.792,0.521,2,-10.369,0.1,0.0202,0.129,0.0911,0.914,149.995
20,5O1vxhZsG6IhclVRYpPtZm,Foul,LUCY,https://open.spotify.com/track/5O1vxhZsG6IhclVRYpPtZm,0.501,0.569,4,-3.955,0.0319,0.285,0.000133,0.309,0.284,147.831
21,3PjUzh5My1LgHLExo0qRC3,IF I,Wynn,https://open.spotify.com/track/3PjUzh5My1LgHLExo0qRC3,0.44,0.503,0,-8.984,0.0384,0.836,0.000107,0.325,0.275,135.401
22,0MEJznR74sW0mnSnkbiQia,PTT (Paint The Town),LOONA,https://open.spotify.com/track/0MEJznR74sW0mnSnkbiQia,0.646,0.858,3,-4.342,0.076,0.152,1.54e-05,0.0525,0.366,124.027
23,6RBziRcDeiho3iTPdtEeg9,Event Horizon,Younha,https://open.spotify.com/track/6RBziRcDeiho3iTPdtEeg9,0.534,0.861,11,-3.177,0.0361,0.0758,0.0,0.167,0.286,97.977
24,7gRFDGEzF9UkBV233yv2dc,Shut Down,BLACKPINK,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc,0.818,0.69,0,-5.119,0.0454,0.00327,0.0,0.186,0.688,110.071
25,1gO4R8PoR9BphhqomW0Y1C,aloe,macico,https://open.spotify.com/track/1gO4R8PoR9BphhqomW0Y1C,0.768,0.594,1,-7.929,0.032,0.216,0.473,0.115,0.869,120.012
26,1ezubi9SlRqI3fHoGXjuP7,SHAKE IT,LOONA,https://open.spotify.com/track/1ezubi9SlRqI3fHoGXjuP7,0.757,0.805,11,-2.982,0.0456,0.0162,0.0,0.0571,0.456,119.995
27,6RR84PQUcY9BnV0T6NpnSX,雨模様,ぷにぷに電機,https://open.spotify.com/track/6RR84PQUcY9BnV0T6NpnSX,0.591,0.612,1,-7.278,0.026,0.346,0.00991,0.354,0.657,109.957
28,2b2Nibg3lTUTKctwwb7bEv,RING ma Bell (what a wonderful world),Billlie,https://open.spotify.com/track/2b2Nibg3lTUTKctwwb7bEv,0.641,0.947,5,-2.532,0.0886,0.026,6.93e-06,0.132,0.801,137.024
29,0tTotZHPsxyjW3jqNJ1td2,Gone,TWICE,https://open.spotify.com/track/0tTotZHPsxyjW3jqNJ1td2,0.716,0.799,5,-3.853,0.0755,0.327,0.0,0.0576,0.836,159.886
