,id,name,artist,lien,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
328,3JYPMn8renUQPSUwriljK8,who why ya,gitim,https://open.spotify.com/track/3JYPMn8renUQPSUwriljK8,0.312,0.471,7,-7.73,0.029,0.486,0.00015,0.158,0.546,159.328
444,5vYJvVnPsbES1iAdJrjlPu,Still sweet,GREENVILLA,https://open.spotify.com/track/5vYJvVnPsbES1iAdJrjlPu,0.572,0.4,7,-8.285,0.0279,0.354,0.237,0.111,0.403,180.073
216,4Pu5fPc24pPEdGFVspLTrV,Mirror,Sunday Moon,https://open.spotify.com/track/4Pu5fPc24pPEdGFVspLTrV,0.843,0.519,11,-7.541,0.12,0.713,0.00107,0.234,0.632,78.999
758,4PyPGSjuuOvtd5UvzbJ44M,Too late,His,https://open.spotify.com/track/4PyPGSjuuOvtd5UvzbJ44M,0.668,0.597,10,-6.166,0.0496,0.886,0.00131,0.0979,0.187,74.975
333,2HwX59aecVeq6k8ltDK4d0,눈이 마주쳤을 때,O.O.O,https://open.spotify.com/track/2HwX59aecVeq6k8ltDK4d0,0.677,0.795,8,-3.789,0.0494,0.0376,4.82e-06,0.0966,0.639,113.047
337,6kcnFRTsf7DaJWwu1QbBvd,Dong 덩,SE SO NEON,https://open.spotify.com/track/6kcnFRTsf7DaJWwu1QbBvd,0.723,0.715,8,-3.805,0.0419,0.0199,0.000905,0.145,0.707,112.955
45,4AgPA4UnnvDMddZVvkDRQd,Castaway,off the menu,https://open.spotify.com/track/4AgPA4UnnvDMddZVvkDRQd,0.597,0.816,2,-4.878,0.0344,0.121,0.0378,0.284,0.722,129.999
715,0Ots0hGoPjgRw99GdQzJjc,Dive,Luli Lee,https://open.spotify.com/track/0Ots0hGoPjgRw99GdQzJjc,0.762,0.77,1,-4.486,0.0345,0.224,0.000297,0.105,0.81,108.018
651,4hVNcfboZ0jhrM2tb8nYZv,Escape,Rosy,https://open.spotify.com/track/4hVNcfboZ0jhrM2tb8nYZv,0.641,0.739,1,-3.786,0.329,0.321,0.0,0.198,0.585,159.983
726,2jqKcEg9lL039ddHi3Z3mI,표류 drift,We Hate JH,https://open.spotify.com/track/2jqKcEg9lL039ddHi3Z3mI,0.594,0.823,1,-4.238,0.0403,0.091,5.26e-06,0.0778,0.643,154.984
122,5EgUtAK5ddqrt90FlDr6MF,Panda Bear,HYUKOH,https://open.spotify.com/track/5EgUtAK5ddqrt90FlDr6MF,0.602,0.621,6,-6.301,0.034,0.0484,0.00131,0.107,0.734,132.058
126,0auy0gheQOJxmPZNgKMTHP,Today's Weather Was A Failure,Night Off,https://open.spotify.com/track/0auy0gheQOJxmPZNgKMTHP,0.605,0.546,7,-6.114,0.024,0.446,0.00103,0.179,0.415,143.007
424,5DwrdwvgJR4qxmBusKZyrn,Home,Oowl Hannal,https://open.spotify.com/track/5DwrdwvgJR4qxmBusKZyrn,0.562,0.178,11,-8.517,0.0329,0.914,0.00279,0.12,0.242,106.401
734,4vmEm6Ssmnlzt2PAQh5q2I,Lazy day,조영현,https://open.spotify.com/track/4vmEm6Ssmnlzt2PAQh5q2I,0.693,0.484,8,-6.756,0.0875,0.807,0.0,0.112,0.462,83.054
308,3rzQIUG5c4QNXJf2kz2T0r,DENIAL - Radio Edit,Room306,https://open.spotify.com/track/3rzQIUG5c4QNXJf2kz2T0r,0.677,0.438,1,-9.868,0.0695,0.98,0.00214,0.107,0.386,141.903
567,7zq7IUitnTMgjWi3dGV8ws,Love,Damdamgugu,https://open.spotify.com/track/7zq7IUitnTMgjWi3dGV8ws,0.708,0.433,1,-7.188,0.0276,0.367,0.348,0.104,0.298,97.94
463,3ZuvOKMljNq0anq32u1ZTu,1,9z,https://open.spotify.com/track/3ZuvOKMljNq0anq32u1ZTu,0.531,0.493,9,-8.573,0.0311,0.821,0.0252,0.289,0.298,78.002
